,Names,Profession,Height,Age,Nominated,Parents,Children,Picture,wikipedia_link
1057,Mandira Bedi, Profession Actor Presenter , Height 1.68 , Age 43 , Nominated For Indian Telly Award for Best Television Personality Indian Telly Award for Best Actress in a Negative Role , Parents Verinder Singh Bedi Gita Bedi , Children Vir ,https://imgix.ranker.com/node_img/76/1508948/original/mandira-bedi-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Mandira_Bedi
1058,Shenaz Treasurywala,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1059,Subhalekha Sudhakar, Profession Actor ,N\A, Age 58 ,N\A,N\A, Children Sreekar ,https://imgix.ranker.com/user_node_img/3100/61997472/original/subhalekha-sudhakar-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Subhalekha_Sudhakar
1060,Chinni Jayanth, Profession Comedian Actor ,N\A, Age 58 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/1572/31425361/original/chinni-jayanth-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Chinni_Jayanth
1061,Manmeet Singh,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1062,Jayanthi, Profession Film Producer Actor Playback singer ,N\A, Age 69 ,N\A, Parents Balasubramanyam Santhanalakshmi , Children Krishna Kumar ,https://imgix.ranker.com/node_img/64/1273562/original/jayanthi-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Jayanthi_(actress)
1063,Navni Parihar, Profession Actor ,N\A, Age 54 ,N\A,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Navni_Parihar
1064,Harsh Chhaya,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1065,Nagesh Kukunoor, Profession Film Producer Screenwriter Actor Film Director ,N\A, Age 51 , Nominated For Filmfare Award for Best Director , Parents Kusuma Sudershan KS Naidu ,N\A,https://imgix.ranker.com/node_img/83/1642801/original/nagesh-kukunoor-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Nagesh_Kukunoor
1066,A. Venkatesh,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1067,Kumar Pallana, Profession Juggler Businessperson Actor Vaudeville Performer ,N\A, Age Dec. at 95 (1918-2013) ,N\A,N\A, Children Dipak Pallana ,https://imgix.ranker.com/node_img/70/1397017/original/kumar-pallana-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Kumar_Pallana
1068,Shazahn Padamsee, Profession Model Actor , Height 1.7 , Age 31 , Nominated For Stardust Award for Best Supporting Actress , Parents Sharon Prabhakar Alyque Padamsee ,N\A,https://imgix.ranker.com/node_img/1682/33639323/original/shazahn-padamsee-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Shazahn_Padamsee
1069,Rajat Bedi, Profession Actor ,N\A,N\A,N\A, Parents Narender Bedi , Children Vera Bedi Vivaan Bedi ,https://imgix.ranker.com/node_img/3104/62061814/original/rajat-bedi-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Rajat_Bedi
1070,Visu, Profession Talk show host Film Producer Screenwriter Actor Film Director ,N\A, Age 78 ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Visu
1071,Vishal Bharadwaj, Profession Film Score Composer Film Producer Screenwriter Lyricist Playback singer Composer Singer Music Director Film Director ,N\A, Age 53 , Nominated For Filmfare Award for Best Director , Parents Ram Bhardwaj Satya Bhardwaj ,N\A,https://imgix.ranker.com/user_node_img/118/2344186/original/vishal-bharadwaj-writers-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Vishal_Bhardwaj
1072,Kalki Koechlin, Profession Screenwriter Actor , Height 1.73 , Age 35 , Nominated For Filmfare Award for Best Supporting Actress Apsara Award for Best Actress in a Supporting Role IIFA Award for Best Supporting Actress , Parents Joel Koechlin Francoise Armandie ,N\A,https://imgix.ranker.com/user_node_img/787/15734723/original/kalki-koechlin-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Kalki_Koechlin
1073,Leena Chandavarkar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1074,S. M. Zaheer,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1075,Anup Soni, Profession Politician Actor ,N\A, Age 44 , Nominated For Indian Telly Jury Award for Best Actor in a Supporting Role Apsara Award for Best Actor in a Supporting Role Indian Telly Award for Best Anchor/s ,N\A, Children Imaan Soni ,https://imgix.ranker.com/node_img/561/11218566/original/anup-soni-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Anup_Soni
1076,Mahesh Thakur, Profession Actor ,N\A, Age 49 , Nominated For STAR Parivaar Award for Favourite Sasur ,N\A,N\A,https://imgix.ranker.com/node_img/3114/62261399/original/mahesh-thakur-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Mahesh_Thakur
1077,Adnan Sami, Profession Film Score Composer Musician Actor Composer Singer Presenter ,N\A, Age 45 , Nominated For Apsara Award for Best Male Playback Singer Filmfare Award for Best Male Playback Singer Filmfare Award for Best Music Director Filmfare Award for Best Male Playback Singer – Telugu , Parents Arshad Sami Khan ,N\A,https://imgix.ranker.com/user_node_img/21/402681/original/adnan-sami-recording-artists-and-groups-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Adnan_Sami
1078,Satish Kaul, Profession Film Producer Actor ,N\A, Age 64 ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Satish_Kaul
1079,Lindsay Anderson, Profession Television director Theatre Director Film critic Film Producer Screenwriter Actor Film Director ,N\A, Age Dec. at 71 (1923-1994) , Nominated For BAFTA Award for Best British Film BAFTA Award for Best Direction Tony Award for Best Direction of a Play BAFTA Award for Best Film ,N\A,N\A,https://imgix.ranker.com/node_img/73/1450833/original/lindsay-anderson-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Lindsay_Anderson
1080,Sudheesh, Profession Actor ,N\A, Age 43 ,N\A, Parents Sudhakaran Nair , Children Rudraksh ,https://imgix.ranker.com/node_img/3103/62055333/original/sudheesh-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sudheesh
1081,Rajatava Datta,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1082,Sana Khan, Profession Model Actor ,N\A, Age 31 ,N\A, Parents Saeeda ,N\A,https://imgix.ranker.com/user_node_img/1679/33560504/original/sana-khan-people-in-film-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sana_Khan
1083,Remya Nambeesan, Profession Actor Singer Presenter ,N\A, Age 33 , Nominated For Filmfare Award for Best Female Playback Singer – Malayalam Filmfare Award for Best Supporting Actress – Malayalam , Parents Jayasree Subrahmaniam Unni ,N\A,https://imgix.ranker.com/node_img/95/1891997/original/remya-nabeeshan-all-people-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Remya_Nambeesan
1084,Narsing Yadav, Profession Actor ,N\A, Age 55 ,N\A,N\A, Children Ruthvik Yadav ,https://imgix.ranker.com/user_node_img/83/1647747/original/narsing-yadav-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Narsing_Yadav
1085,Laya, Profession Actor ,N\A, Age 38 , Nominated For Filmfare Award for Best Actress – Telugu ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Laya_(actress)
1086,Babu Antony, Profession Actor Film Director , Height 1.91 , Age 53 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/27/528737/original/babu-antony-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Babu_Antony
1087,Asif Basra,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1088,Renuka Shahane, Profession Actor Presenter ,N\A, Age 52 , Nominated For Indian Telly Award for Best Actress in a Lead Role Filmfare Award for Best Supporting Actress ,N\A, Children Satyendra Shouryaman ,https://imgix.ranker.com/node_img/95/1893495/original/renuka-shahane-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Renuka_Shahane
1089,Sripriya Sethupathi, Profession Actor Dancer ,N\A,N\A,N\A,N\A, Children Nagarjun Sethupathi Sneha Sethupathi ,https://imgix.ranker.com/user_node_img/2072/41435104/original/sripriya-all-people-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sripriya
1090,Deepal Shaw,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1091,Nadhiya, Profession Actor ,N\A, Age 49 , Nominated For Vijay Award for Best Supporting Actress ,N\A,N\A,https://imgix.ranker.com/node_img/585/11695380/original/nadhiya-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Nadhiya
1092,Ashok Amritraj, Profession Tennis player Businessperson Television producer Film Producer Screenwriter Actor ,N\A, Age 63 , Nominated For International Emmy Kids Award for TV Movie/Mini-Series , Parents Maggie Dhairyam Robert Amritraj , Children Milan Amritraj Priya Amritraj ,https://imgix.ranker.com/node_img/26/501381/original/ashok-amritraj-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Ashok_Amritraj
1093,Kondavalasa Lakshmanarao,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1094,Habib Tanvir, Profession Theatre Director Poet Actor Playwright ,N\A, Age Dec. at 86 (1923-2009) ,N\A, Parents Hafiz Ahmed Khan , Children Nageen Tanvir Anna Tanvir ,https://imgix.ranker.com/node_img/477/9532370/original/habib-tanvir-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Habib_Tanvir
1095,Ashmit Patel,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1096,Prasanna, Profession Actor ,N\A, Age 36 , Nominated For Filmfare Award for Best Supporting Actor – Tamil ,N\A,N\A,https://imgix.ranker.com/node_img/92/1832174/original/prasanna-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Prasanna_(actor)
1097,Shankar, Profession Actor ,N\A, Age 58 ,N\A, Parents Kacheriyil Thekkeveettil NP Panicker Sulochana Panicker ,N\A,https://imgix.ranker.com/node_img/101/2012912/original/shankar-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Shankar_(actor)
1098,Deepak Parashar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1099,Shobhan Babu, Profession Actor ,N\A, Age Dec. at 71 (1937-2008) ,N\A, Parents Rama Thulasamma Uppu Suryanarayana Rao , Children Mrudula Prashanti Nivedita Karuna Seshu ,https://imgix.ranker.com/node_img/102/2022144/original/shobhan-babu-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sobhan_Babu
1100,Venniradai Moorthy, Profession Comedian Actor Lawyer ,N\A, Age 83 ,N\A,N\A, Children Mano Moorthy ,https://imgix.ranker.com/node_img/1711/34212121/original/venniradai-moorthy-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Venniradai_Moorthy
1101,Arif Zakaria, Profession Actor ,N\A, Age 52 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/1553/31056942/original/arif-zakaria-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Arif_Zakaria
1102,Shakti Samanta, Profession Film Producer Film Director ,N\A, Age Dec. at 83 (1926-2009) , Nominated For Filmfare Award for Best Director ,N\A, Children Ashim Samanta ,https://imgix.ranker.com/node_img/101/2011599/original/shakti-samanta-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Shakti_Samanta
1103,Rao Gopal Rao, Profession Film Producer Actor ,N\A, Age Dec. at 57 (1937-1994) ,N\A,N\A, Children Rao Ramesh ,N\A,https://en.wikipedia.org/wiki/Rao_Gopal_Rao
1104,Krishna,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1105,Manher Desai,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1106,Bharat Jadhav, Profession Comedian Actor ,N\A,N\A,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Bharat_Jadhav
1107,Sukumaran, Profession Film Producer Actor ,N\A, Age Dec. at 49 (1948-1997) ,N\A, Parents Subhadramma Parameshwaran Nair , Children Indrajith Sukumaran Prithviraj Sukumaran ,https://imgix.ranker.com/node_img/106/2119247/original/sukumaran-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sukumaran
1108,Kausalya,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1109,Anita Hassanandani, Profession Model Actor ,N\A, Age 38 , Nominated For Indian Telly Award for Best Actress in a Lead Role Zee Cine Award for Best Female Debut ,N\A,N\A,https://imgix.ranker.com/user_node_img/83/1649309/original/natassha-people-in-tv-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Anita_Hassanandani
1110,Nilu Phule, Profession Social Worker Actor ,N\A, Age Dec. at 79 (1930-2009) ,N\A,N\A, Children Gargi Phule Thatte ,https://imgix.ranker.com/node_img/1654/33065684/original/nilu-phule-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Nilu_Phule
1111,Rajshree,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1112,Harish Kumar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1113,Relangi Venkatramaiah, Profession Actor ,N\A, Age Dec. at 65 (1910-1975) ,N\A,N\A, Children Relangi Satyanarayana Babu ,N\A,https://en.wikipedia.org/wiki/Relangi_Venkata_Ramaiah
1114,Swini Khara, Profession Actor ,N\A, Age 20 , Nominated For Indian Telly Award for Best Child Actress , Parents Shilpa Khara Nimesh Khara ,N\A,N\A,https://en.wikipedia.org/wiki/Swini_Khara
1115,Mugdha Godse, Profession Model Actor , Height 1.75 , Age 32 , Nominated For Filmfare Award for Best Female Debut ,N\A,N\A,https://imgix.ranker.com/node_img/82/1627496/original/mugdha-godse-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Mugdha_Godse
1116,Mouli,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1117,Bhisham Sahni, Profession Author Actor Writer Playwright ,N\A, Age Died at 88 (1915-2003) ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/29/578489/original/bhisham-sahni-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Bhisham_Sahni
1118,Pamela Salem, Profession Actor , Height 1.68 , Age 69 ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Pamela_Salem
1119,Poonam Kaur,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1120,Atul Parchure, Profession Actor ,N\A, Age 52 , Nominated For Indian Telly Jury Award for Best Actor in a Comic Role Indian Telly Award for Best Actor in a Comic Role ,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Atul_Parchure
1121,Mansoor Ali Khan,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1122,Mark Heap,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1123,Chetan Anand, Profession Film Producer Screenwriter Actor Film Director ,N\A, Age Dec. at 76 (1921-1997) , Nominated For Filmfare Award for Best Director , Parents Pishori Lal Anand , Children Ketan Anand Vivek Anand ,https://imgix.ranker.com/user_node_img/36/712756/original/chetan-anand-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Chetan_Anand_(director)
1124,Udita Goswami,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1125,Amala, Profession Actor ,N\A, Age 50 , Nominated For Filmfare Award for Best Supporting Actress – Telugu ,N\A, Children Akhil Akkineni ,https://imgix.ranker.com/node_img/1948/38940929/original/amala-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Amala_Akkineni
1126,Jayabharathi,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1127,Karen David, Profession Singer-songwriter Actor , Height 1.56 , Age 39 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/8/142594/original/karen-david-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Karen_David
1128,Vineet Kumar, Profession Actor ,N\A, Age 62 , Nominated For Indian Telly Award for Best Actor in a Comic Role ,N\A,N\A,https://imgix.ranker.com/node_img/118/2340970/original/vineet-kumar-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Vineet_Kumar
1129,Dolly Minhas, Profession Actor ,N\A, Age 51 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/3175/63486002/original/dolly-minhas-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Dolly_Minhas
1130,Manjari Phadnis, Profession Model Actor ,N\A, Age 34 , Nominated For Zee Cine Award for Best Female Debut Stardust Award for Breakthrough Performance – Female ,N\A,N\A,https://imgix.ranker.com/node_img/1640/32784134/original/manjari-phadnis-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Manjari_Fadnis
1131,Faryal,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1132,Amanchi Venkata Subrahmanyam,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1133,Anant Jog,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1134,Disha Vakani, Profession Actor ,N\A, Age 40 , Nominated For Apsara Award for Best Actress in a Drama Series Indian Telly Award for Best Actress in a Comic Role ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Disha_Vakani
1135,Geetu Mohandas, Profession Film Producer Screenwriter Actor Film Director ,N\A, Age 38 , Nominated For Filmfare Award for Best Supporting Actress – Malayalam ,N\A, Children Aradhana Ravi ,https://imgix.ranker.com/node_img/53/1050045/original/geetu-mohandas-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Geetu_Mohandas
1136,Arjan Bajwa, Profession Model Actor ,N\A, Age 39 , Nominated For Apsara Award for Best Actor in a Negative Role , Parents S.S Bajwa ,N\A,https://imgix.ranker.com/node_img/651/13014436/original/arjan-bajwa-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Arjan_Bajwa
1137,Naresh, Profession Actor ,N\A, Age 59 , Nominated For Filmfare Award for Best Supporting Actor – Telugu , Parents Vijaya Nirmala Krishna ,N\A,N\A,https://en.wikipedia.org/wiki/Naresh_(actor)
1138,Abhirami, Profession Actor , Height 1.83 , Age 35 ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Abhirami_(actress)
1139,Gajendra Chauhan, Profession Actor ,N\A,N\A,N\A,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Gajendra_Chauhan
1140,Radha Saluja, Profession Actor ,N\A,N\A,N\A,N\A,N\A,https://imgix.ranker.com/node_img/3106/62101073/original/radha-saluja-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Radha_Saluja
1141,Vikas Bhalla, Profession Actor Singer ,N\A, Age 46 ,N\A,N\A, Children Veer Bhalla Sanchi Bhalla ,https://imgix.ranker.com/node_img/3107/62131496/original/vikas-bhalla-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Vikas_Bhalla
1142,Indira Bansal,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1143,M. Prabhakar Reddy, Profession Screenwriter Actor Writer ,N\A, Age Dec. at 62 (1935-1997) ,N\A, Parents Lakshma Reddy Kausalya ,N\A,N\A,https://en.wikipedia.org/wiki/M._Prabhakar_Reddy
1144,Deepshikha, Profession Actor ,N\A, Age 41 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/42/834478/original/deepshika-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Deepshikha_Nagpal
1145,Samyuktha Varma, Profession Actor ,N\A, Age 39 , Nominated For Kerala State Film Award for Best Actress , Parents Uma Varma Ravi Varma , Children Dhaksh Dharmik ,https://imgix.ranker.com/node_img/99/1969380/original/samyuktha-varma-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Samyuktha_Varma
1146,Kapil Dev, Profession Cricketer Coach Actor , Height 1.83 , Age 60 ,N\A, Parents Raj Kumari Lajwanti Ram Lal Nikhanj , Children Amiya Dev ,https://imgix.ranker.com/node_img/68/1347427/original/kapil-dev-athletes-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Kapil_Dev
1147,Sundar C, Profession Screenwriter Actor Film Director ," Height 6'0"" ", Age 51 ,N\A, Parents Chithambaram Pillai Deivannai Ammal , Children Ananditha Avanthika ,https://imgix.ranker.com/user_node_img/107/2121379/original/sundar-c-film-director-film-writer-people-in-film-person-writers-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sundar_C.
1148,Vijay Tendulkar, Profession Commentator Journalist Screenwriter Essayist Playwright ,N\A, Age Dec. at 80 (1928-2008) , Nominated For Filmfare Award for Best Story ,N\A, Children Raja Tendulkar Priya Tendulkar ,https://imgix.ranker.com/node_img/117/2337723/original/vijay-tendulkar-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Vijay_Tendulkar
1149,T. Rajendar, Profession Songwriter Stunt Performer Musician Cinematographer Film Producer Choreographer Actor Playback Singer Screenwriter Lyricist Music Director Film Director ,N\A, Age 63 ,N\A, Parents Desingu Udaiyar ,N\A,https://imgix.ranker.com/node_img/115/2294551/original/t-rajendar-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/T._Rajendar
1150,Sangeeta Bijlani, Profession Model Actor Presenter , Height 1.7 , Age 53 , Nominated For Filmfare Award for Best Supporting Actress ,N\A,N\A,https://imgix.ranker.com/node_img/99/1972607/original/sangeeta-bijlani-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sangeeta_Bijlani
1151,Meera Vasudevan, Profession Model Actor ,N\A, Age 37 ,N\A, Parents Hemalatha Vasudevan ,N\A,N\A,https://en.wikipedia.org/wiki/Meera_Vasudevan
1152,Samantha Ruth Prabhu, Profession Model Actor , Height 1.68 , Age 31 , Nominated For Vijay Award for Best Debut Actress Vijay Award for Favourite Heroine Filmfare Award for Best Actress – Telugu , Parents Ninette Prabhu Prabhu ,N\A,https://imgix.ranker.com/user_node_img/1678/33554902/original/samantha-ruth-prabhu-u5?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Samantha_Akkineni
1153,V. Shantaram, Profession Film Producer Screenwriter Actor Film Director ,N\A, Age Dec. at 89 (1901-1990) , Nominated For Filmfare Award for Best Director ,N\A, Children Kiran Shantaram Rajshree Charushila Shantaram Madhura Shantaram Prabhat Kumar Shantaram Sarojini Shantaram Tejasri Shantaram ,https://imgix.ranker.com/node_img/94/1868421/original/v-shantaram-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/V._Shantaram
1154,Ram Charan, Profession Actor , Height 1.75 , Age 33 , Nominated For Filmfare Award for Best Actor – Telugu , Parents Smt. Surekha Chiranjeevi ,N\A,https://imgix.ranker.com/user_node_img/475/9487482/original/ram-charan-teja-actors-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Ram_Charan
1155,Sakshi Ranga Rao, Profession Actor ,N\A, Age Dec. at 63 (1942-2005) ,N\A, Parents Lakshmi Narayana Ranganayakamma , Children Saakshi Siva ,https://imgix.ranker.com/node_img/3110/62184300/original/sakshi-ranga-rao-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sakshi_Ranga_Rao
1156,Deepa Sahi, Profession Film Producer Actor ,N\A, Age 53 , Nominated For Filmfare Award for Best Supporting Actress ,N\A,N\A,https://imgix.ranker.com/user_node_img/42/834377/original/deepa-sahi-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Deepa_Sahi
1157,Krishna Kumari, Profession Actor , Height 1.65 , Age 85 ,N\A,N\A, Children Dipika ,N\A,https://en.wikipedia.org/wiki/Krishna_Kumari_(actress)
1158,Siddharth Randeria,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1159,Pratima Kazmi, Profession Actor ,N\A, Age 70 , Nominated For Apsara Award for Best Actress in a Supporting Role Indian Telly Jury Award for Best Actress in a Negative Role ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Pratima_Kazmi
1160,Inder Kumar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1161,Anwar Ali,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1162,Suresh,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1163,Rabi Ghosh, Profession Actor ,N\A, Age Dec. at 66 (1931-1997) ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Rabi_Ghosh
1164,Radhika Apte, Profession Actor ,N\A, Age 33 , Nominated For Vijay Award for Best Supporting Actress , Parents Dr Charu Apte ,N\A,https://imgix.ranker.com/user_node_img/1670/33382011/original/radhika-apte-actors-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Radhika_Apte
1165,Ram Sethi,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
