,Names,Profession,Height,Age,Nominated,Parents,Children,Picture,wikipedia_link
29,Ali, Profession Comedian Actor ,N\A, Age 50 ,N\A, Parents Mohammed Basha Zaitun Bibi , Children Mohd. Fathima Rameezun Zuveria Meethi Mohd Abdul Subhan ,https://imgix.ranker.com/user_node_img/22/433894/original/ali-recording-artists-and-groups-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Ali_(actor)
30,Mohanlal, Profession Film Distributor Entrepreneur Film Producer Screenwriter Actor Singer , Height 1.72 , Age 58 , Nominated For Filmfare Award for Best Supporting Actor , Parents Vishwanathan Nair Santhakumari , Children Vismaya Pranav Mohanlal ,https://imgix.ranker.com/node_img/81/1605219/original/mohanlal-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Mohanlal
31,Iftekhar, Profession Actor ,N\A, Age Dec. at 75 (1920-1995) ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/61/1208523/original/iftekhar-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Iftekhar
32,Dinesh Hingoo, Profession Actor ,N\A,N\A,N\A,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Dinesh_Hingoo
33,Jagathi Sreekumar, Profession Actor Writer Film Director ,N\A, Age 68 , Nominated For Kerala State Film Award for Best Actor , Parents Prasanna Achary Jagathy N. K. Achary , Children SreeLakshmi Sreekumar Rajkumar Sreekumar Parvathi Sreekumar ,https://imgix.ranker.com/node_img/63/1256455/original/jagathy-sreekumar-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Jagathy_Sreekumar
34,Farida Jalal, Profession Actor , Height 1.55 , Age 69 , Nominated For Filmfare Award for Best Supporting Actress Indian Telly Award for Best Actress in a Comic Role ,N\A, Children Yaseen Jalal ,https://imgix.ranker.com/user_node_img/49/977548/original/farida-jalal-people-in-tv-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Farida_Jalal
35,Helen, Profession Actor Dancer ,N\A, Age 80 , Nominated For Filmfare Award for Best Supporting Actress , Parents Jairag , Children Arpita Khan ,https://imgix.ranker.com/user_node_img/58/1145165/original/helen-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Helen_(actress)
36,Abhishek Bachchan, Profession Businessperson Film Producer Actor Playback singer Singer Presenter , Height 1.85 , Age 43 , Nominated For Filmfare Award for Best Performance in a Negative Role Filmfare Award for Best Actor Filmfare Award for Best Supporting Actor , Parents Amitabh Bachchan Jaya Bhaduri Bachchan , Children Aaradhya Bachchan ,https://imgix.ranker.com/node_img/20/391062/original/abhishek-bachchan-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Abhishek_Bachchan
37,Mammootty, Profession Film Producer Actor Lawyer , Height 1.78 , Age 67 , Nominated For Asianet Film Award for Best Actor , Parents Fatima Panaparambil Ismail Panaparambil , Children Kutty Surumi Dulquar Salman ,https://imgix.ranker.com/node_img/76/1507516/original/mammootty-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Mammootty
38,Ranjeet, Profession Actor ,N\A, Age 72 ,N\A,N\A, Children Divyanka Bedi ,https://imgix.ranker.com/user_node_img/94/1873734/original/ranjeet-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Ranjeet
39,Kamal Haasan, Profession Songwriter Film Producer Choreographer Actor Singer Writer Voice Actor Playback Singer Screenwriter Lyricist Film Director , Height 1.65 , Age 64 , Nominated For Filmfare Award for Best Actor Filmfare Award for Best Supporting Actor , Parents D. Srinivasan Rajalakshmi Srinivasan , Children Shruti Haasan Akshara haasan ,https://imgix.ranker.com/node_img/68/1344677/original/kamal-haasan-writers-photo-2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Kamal_Haasan
40,Rajesh Khanna, Profession Politician Film Producer Actor , Height 1.75 , Age Dec. at 70 (1942-2012) , Nominated For Filmfare Award for Best Actor , Parents Lala Hiranand Chunni Lal Khanna Chandrani Khanna Leela Wati Khanna , Children Rinke Khanna Twinkle Khanna ,https://imgix.ranker.com/node_img/94/1868634/original/rajesh-khanna-politicians-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Rajesh_Khanna
41,Sharat Saxena, Profession Actor , Height 1.77 , Age 68 , Nominated For Filmfare Award for Best Performance in a Negative Role ,N\A, Children Vishal Saxena Veera Saxena ,https://imgix.ranker.com/node_img/101/2013597/original/sharat-saxena-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sharat_Saxena
42,Asit Sen, Profession Comedian Screenwriter Actor Film Director ,N\A, Age Dec. at 79 (1922-2001) , Nominated For Filmfare Award for Best Director ,N\A, Children Sujit Sen ,https://imgix.ranker.com/node_img/2201/44014364/original/asit-sen-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Asit_Sen_(director)
43,Naseeruddin Shah, Profession Theatre Director Environmentalist Actor , Height 1.78 , Age 68 , Nominated For Filmfare Award for Best Performance in a Negative Role Filmfare Award for Best Actor Filmfare Award for Best Supporting Actor ,N\A, Children Heeba Shah Imaad Shah Vivaan Shah ,https://imgix.ranker.com/node_img/83/1648095/original/naseeruddin-shah-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Naseeruddin_Shah
44,Shashi Kapoor, Profession Film Producer Actor Film Director , Height 1.8 , Age 80 , Nominated For Filmfare Award for Best Supporting Actor , Parents Prithviraj Kapoor Ramsarni Mehra Kapoor , Children Sanjana Kapoor Karan Kapoor Kunal Kapoor ,https://imgix.ranker.com/node_img/101/2014579/original/shashi-kapoor-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Shashi_Kapoor
45,Jackie Shroff, Profession Actor , Height 1.83 , Age 62 , Nominated For Filmfare Award for Best Performance in a Negative Role Filmfare Award for Best Actor Filmfare Award for Best Supporting Actor , Parents Rita Shroff Kakubhai Shroff , Children Krishna Shroff Jai Shroff ,https://imgix.ranker.com/node_img/63/1251342/original/jackie-shroff-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Jackie_Shroff
46,Rajendra Nath,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
47,Rajnikanth, Profession Film Producer Screenwriter Actor , Height 1.75 , Age 68 , Nominated For Filmfare Award for Best Actor – Tamil , Parents Ramoji Rao Gaekwad Jijabai , Children Soundarya Rajinikanth Aishwarya R. Dhanush ,https://imgix.ranker.com/node_img/94/1868787/original/rajnikanth-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Rajinikanth
48,Hrithik Roshan, Profession Actor Singer Dancer , Height 1.82 , Age 45 , Nominated For Filmfare Award for Best Actor Filmfare Award for Best Supporting Actor , Parents Rakesh Roshan Pinky Roshan , Children Hridhaan Roshan Hrehaan Roshan ,https://imgix.ranker.com/node_img/60/1185595/original/hrithik-roshan-writers-photo-2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Hrithik_Roshan
49,Ashish Vidyarthi, Profession Actor ,N\A, Age 56 , Nominated For Filmfare Award for Best Performance in a Negative Role , Parents Reba Vidyarthi Govind Vidyarthi , Children Arth Vidyarthi ,https://imgix.ranker.com/user_node_img/26/500930/original/ashish-vidyarthi-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Ashish_Vidyarthi
50,Viju Khote, Profession Character actor Actor ,N\A,N\A,N\A, Parents Nandu Khote ,N\A,N\A,https://en.wikipedia.org/wiki/Viju_Khote
51,Tanikella Bharani, Profession Screenwriter Actor Writer Film Director Playwright ,N\A, Age 64 ,N\A, Parents Laxmi Narasamma Sethu Ramalingeswara Rao , Children Maha Teja Bharani Soundarya Lahari Bharani ,https://imgix.ranker.com/node_img/108/2148239/original/tanikella-bharani-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Tanikella_Bharani
52,Rajpal Yadav, Profession Screenwriter Actor Writer Film Director , Height 1.6 , Age 47 , Nominated For Filmfare Award for Best Performance in a Comic Role Apsara Award for Best Actor in a Comic Role Zee Cine Award for Best Actor in a Supporting Role IIFA Award for Best Performance in a Comic Role ,N\A,N\A,https://imgix.ranker.com/node_img/94/1868802/original/rajpal-yadav-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Rajpal_Yadav
53,Kulbhushan Kharbanda, Profession Actor ,N\A, Age 74 , Nominated For Filmfare Award for Best Supporting Actor ,N\A, Children Shruti Kharbanda ,N\A,https://en.wikipedia.org/wiki/Kulbhushan_Kharbanda
54,Sunil Shetty, Profession Businessperson Film Producer Actor Presenter , Height 1.82 , Age 57 , Nominated For Filmfare Award for Best Performance in a Negative Role Filmfare Award for Best Supporting Actor ,N\A, Children Aahan Shetty Atiya Shetty ,https://imgix.ranker.com/node_img/107/2121932/original/suniel-shetty-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Suniel_Shetty
